name,ceed,fafsa
ADAMS STATE COLLEGE-EXTENDED,,001345-80
CALIFORNIA STATE UNIVERSITY - FULLERTON,,001137-00
CABRINI COLLEGE,2071,003241-00
UNIVERSITY OF CALIFORNIA - BERKELEY,,001312-00
KIRKWOOD COMMUNITY COLLEGE,6027,004076-00
CAPITAL COMMUNITY COLLEGE,,007635-00
MOUNT ST MARY'S UNIVERSITY,,002086-00
ST. MARY'S UNIVERSITY,,003623-00
MIDDLE GEORGIA COLLEGE,5411,001581-00
UNIVERSITY OF MISSISSIPPI,,002440-00
WEST VIRGINIA WESLEYAN COLLEGE,5905,003830-00
ALDERSON - BROADDUS COLLEGE,,003806-00
ALDERSON BROADDUS UNIVERSITY,,003806-00
UTAH STATE UNIVERSITY,4857,003677-00
HOWARD COLLEGE,6277,003574-00
PORTLAND STATE UNIVERSITY,4610,003216-00
UNION COUNTY COLLEGE,2921,002643-00
DAVIS & ELKINS COLLEGE,5151,003811-00
CONCORDIA COLLEGE,1989,002709-00
CHAMPLAIN COLLEGE,3291,003684-00
CAMPBELL UNIVERSITY,5100,002913-00
OHIO WESLEYAN UNIVERSITY,1594,003109-00
HARRISBURG AREA COMMUNITY COLLEGE,,003273-00
MONROE COLLEGE - NEW ROCHELLE,,004799-01
MONROE COLLEGE - NEW ROCHELLE,,004799-01
COLLEGE OF WOOSTER,1134,003037-00
BUCKS COUNTY COMMUNITY COLLEGE,2066,003239-00
MAINE MARITIME ACADEMY,3505,002044-00
XAVIER UNIVERSITY,953,003144-00
UNIVERSITY OF IDAHO,,001626-00
GOUCHER COLLEGE,5257,002073-00
GUILFORD TECHNICAL COMMUNITY COLLEGE,,004838-00
WHEATON COLLEGE,3963,002227-00
VALENCIA COLLEGE,,006750-00
NAZARETH COLLEGE OF ROCHESTER,2511,002779-00
KEAN UNIVERSITY,,002622-00
OCEAN COUNTY COLLEGE,2630,002624-00
DAKOTA COLLEGE AT BOTTINEAU,,002995-00
EASTERN WASHINGTON UNIVERSITY,,003775-00
MANHATTAN COLLEGE,2395,002758-00
SUNY BINGHAMTON,2535,002836-00
SAM HOUSTON STATE UNIVERSITY,6643,003606-00
SIERRA NEVADA COLLEGE,4757,009192-00
SOUTHERN NEW HAMPSHIRE- 15WEEK UNGRAD,,002580-91
BROOKS INSTITUTE,4228,001123-00
VILLANOVA UNIVERSITY,2959,003388-00
MIDDLEBURY COLLEGE,3526,003691-00
GULF COAST STATE COLLEGE,,001490-00
LEBANON VALLEY COLLEGE,2364,003288-00
KNOX COLLEGE,1372,001704-00
SUNY ALFRED,,002854-00
LIPSCOMB UNIVERSITY,1161,003486-00
UNIVERSITY OF WEST FLORIDA,,003955-00
UNIVERSITY OF MONTANA,,002536-00
ASHLAND UNIVERSITY,1021,003012-00
SUNY HERKIMER COUNTY COMMUNITY COLLEGE,,004788-00
BUCKNELL UNIVERSITY,2050,003238-00
GREENFIELD COMMUNITY COLLEGE,3420,002169-00
ST JOSEPH'S UNIVERSITY,,003367-00
LEES-MCRAE COLLEGE,5364,002939-00
FORDHAM UNIVERSITY,2259,002722-00
SUNY COBLESKILL,,002856-00
ST BONAVENTURE UNIVERSITY,2793,002817-00
UNIVERSITY OF COLORADO COLORADO SPRINGS,,004509-00
LEMOYNE OWEN COLLEGE,,003501-00
HOLY FAMILY UNIVERSITY,,003275-00
SUNY MOHAWK VALLEY COMMUNITY COLLEGE,,002871-00
HANOVER COLLEGE,1290,001801-00
UNIVERSITY OF NORTHWESTERN OHIO - COLL O,,004861-80
COLLEGE OF SAN MATEO,4070,001181-00
SOUTHEASTERN COMMUNITY COLLEGE,5651,002964-00
EVANGEL UNIVERSITY,,002463-00
MIAMI UNIVERSITY,1526,003077-00
VIRGINIA MILITARY INSTITUTE,5858,003753-00
SOUTH PLAINS COLLEGE,6695,003611-00
HUTCHINSON COMMUNITY COLLEGE,6281,001923-00
BENEDICT COLLEGE,5056,003420-00
HIGH POINT UNIVERSITY,,002933-00
RUTGERS -THE STATE UNIVERSITY OF NJ -NEW,,002629-00
EAST TENNESSEE STATE UNIVERSITY,,003487-00
MONMOUTH UNIVERSITY,,002616-00
MERCYHURST UNIVERSITY,,003297-00
WALSH UNIVERSITY,,003135-00
IOWA WESTERN COMMUNITY COLLEGE,,004598-00
COSUMNES RIVER COLLEGE-LOS RIOS CC DISTR,,007536-00
SUNY COLLEGE AT FREDONIA,,002844-00
NORTHWOOD UNIVERSITY - WEST PALM BEACH,,004072-15
ALLEGHENY COLLEGE,2006,003230-00
CUNY BOROUGH OF MANHATTAN,,002691-00
SARAH LAWRENCE COLLEGE,2810,002813-00
JEFFERSON DAVIS COMMUNITY COLLEGE,,001021-00
UNIVERSITY OF HAWAII AT MANOA,,001610-00
THOMAS COLLEGE,5072,002052-00
AUSTIN COLLEGE,6016,003543-00
COLLEGE OF SAINT ROSE,2091,002705-00
NORTHERN MICHIGAN UNIVERSITY,,002301-00
CHABOT COLLEGE,4725,001162-00
